
id	club	season	matches_played	wins	draws	losses	goals_scored	goals_conceded	goal_difference	points	top_scorer	clean_sheets	possession (%)	pass_accuracy (%)	shots_per_match	fouls_committed	yellow_cards	red_cards	total_injuries	recruited_players	total_attacks_left	total_attacks_middle	total_attacks_right	conceded_attacks_left	conceded_attacks_middle	conceded_attacks_right
1	Bayern Munich	2022-23	34	21	8	5	92	38	+54	71	Eric Maxim Choupo-Moting (17)	12	62.3	88.5	17.2	320	45	1	12	5	140	250	170	75	95	85
2	Borussia Dortmund	2022-23	34	22	5	7	83	44	+39	71	Sébastien Haller (9)	11	58.7	86.2	16.5	330	50	2	14	4	135	240	165	80	100	90
3	RB Leipzig	2022-23	34	20	6	8	64	41	+23	66	Christopher Nkunku (16)	13	56.4	85.7	15.3	340	55	3	15	5	130	230	160	70	90	80
4	Union Berlin	2022-23	34	18	8	8	51	38	+13	62	Sheraldo Becker (11)	14	48.9	79.8	12.7	310	45	1	12	4	110	200	140	65	85	75
5	SC Freiburg	2022-23	34	17	8	9	51	44	+7	59	Vincenzo Grifo (13)	11	52.3	83.1	13.4	320	48	2	13	4	105	190	135	60	80	70
6	Bayer Leverkusen	2022-23	34	14	8	12	57	49	+8	50	Moussa Diaby (9)	9	54.2	84.1	14.1	330	52	2	14	5	115	210	145	75	95	85
7	Eintracht Frankfurt	2022-23	34	13	11	10	58	52	+6	50	Randal Kolo Muani (15)	8	53.8	83.9	13.8	340	55	3	16	5	120	220	150	80	100	90
8	Wolfsburg	2022-23	34	13	10	11	57	48	+9	49	Jonas Wind (9)	10	51.6	82.9	13.2	330	50	2	14	4	110	200	140	70	90	80
9	Mainz 05	2022-23	34	12	10	12	54	55	-1	46	Karim Onisiwo (10)	7	50.8	81.9	12.3	320	48	1	13	4	100	180	130	65	85	75
10	Borussia Mönchengladbach	2022-23	34	11	10	13	52	55	-3	43	Marcus Thuram (13)	6	52.1	83.0	12.8	310	45	1	12	4	95	170	125	60	80	70
11	FC Köln	2022-23	34	10	12	12	49	54	-5	42	Davie Selke (8)	7	49.5	80.2	11.3	310	45	1	12	4	90	170	120	60	75	70
12	Hoffenheim	2022-23	34	10	6	18	48	57	-9	36	Andrej Kramarić (12)	6	51.2	82.5	12.0	320	50	2	14	4	95	180	125	65	80	75
13	Werder Bremen	2022-23	34	10	6	18	51	64	-13	36	Niclas Füllkrug (16)	5	48.9	79.8	11.7	310	45	1	12	4	85	160	115	55	70	65
14	VfL Bochum	2022-23	34	10	5	19	40	72	-32	35	Philipp Hofmann (8)	5	45.8	77.5	10.3	300	40	1	11	3	75	140	95	50	65	60
15	Augsburg	2022-23	34	9	7	18	42	63	-21	34	Ermedin Demirović (9)	6	47.1	78.9	11.1	310	45	1	14	4	85	160	115	55	70	65
16	Stuttgart	2022-23	34	7	12	15	45	57	-12	33	Serhou Guirassy (11)	5	49.8	80.6	11.4	320	48	2	15	5	90	170	120	60	75	70
17	Schalke 04	2022-23	34	7	10	17	35	71	-36	31	Marius Bülter (8)	4	44.8	76.5	10.0	290	38	1	10	2	70	130	90	45	60	55
18	Hertha Berlin	2022-23	34	7	8	19	42	69	-27	29	Dodi Lukebakio (11)	3	46.2	76.5	10.3	280	35	1	9	2	65	120	85	40	55	50
