id	club	season	matches_played	wins	draws	losses	goals_scored	goals_conceded	goal_difference	points	top_scorer	clean_sheets	possession (%)	pass_accuracy (%)	shots_per_match	fouls_committed	yellow_cards	red_cards	total_injuries	recruited_players	total_attacks_left	total_attacks_middle	total_attacks_right	conceded_attacks_left	conceded_attacks_middle	conceded_attacks_right
1	Paris Saint-Germain	2022-23	38	27	4	7	89	40	+49	85	Kylian Mbappé (29)	15	62.5	89.0	16.8	340	50	2	14	5	140	250	170	75	95	85
2	Lens	2022-23	38	25	9	4	68	29	+39	84	Loïs Openda (21)	18	54.3	84.7	14.2	330	48	1	13	4	130	230	160	70	90	80
3	Marseille	2022-23	38	22	7	9	67	40	+27	73	Alexis Sánchez (14)	14	56.8	86.2	14.5	350	55	3	16	5	135	240	165	80	100	90
4	Rennes	2022-23	38	21	5	12	69	39	+30	68	Amine Gouiri (12)	13	55.2	85.1	14.0	340	52	2	15	4	125	220	155	75	95	85
5	Lille	2022-23	38	19	10	9	65	44	+21	67	Jonathan David (24)	12	53.7	84.0	13.8	330	50	1	14	4	120	210	150	70	90	80
6	Monaco	2022-23	38	19	8	11	70	58	+12	65	Wissam Ben Yedder (19)	10	54.8	84.5	14.1	340	55	3	16	5	130	230	160	75	95	85
7	Lyon	2022-23	38	18	8	12	65	47	+18	62	Alexandre Lacazette (27)	11	55.6	85.3	14.3	350	58	3	17	5	135	240	165	80	100	90
8	Clermont Foot	2022-23	38	17	8	13	45	49	-4	59	Muhammed Cham (7)	10	48.9	79.8	11.7	310	45	1	12	4	95	180	125	65	85	75
9	Nice	2022-23	38	15	13	10	48	37	+11	58	Gaëtan Laborde (9)	14	52.3	83.1	12.7	320	48	2	13	4	105	190	135	60	80	70
10	Lorient	2022-23	38	15	10	13	52	53	-1	55	Terem Moffi (14)	9	50.8	81.9	12.3	310	45	1	12	4	100	180	130	65	85	75
11	Reims	2022-23	38	12	15	11	45	45	0	51	Folarin Balogun (21)	10	50.2	81.8	12.0	320	48	2	13	4	100	180	130	65	85	75
12	Montpellier	2022-23	38	15	5	18	65	62	+3	50	Elye Wahi (19)	8	49.8	80.6	12.3	330	50	2	14	4	105	190	135	70	90	80
13	Toulouse	2022-23	38	13	9	16	51	57	-6	48	Thijs Dallinga (12)	7	48.9	79.8	11.7	310	45	1	12	4	95	170	125	60	80	70
14	Brest	2022-23	38	11	11	16	44	54	-10	44	Franck Honorat (7)	6	47.5	79.6	11.2	300	40	1	11	3	85	160	115	55	70	65
15	Strasbourg	2022-23	38	9	13	16	51	59	-8	40	Habib Diallo (20)	5	49.1	80.5	11.8	310	45	1	12	4	90	170	120	60	75	70
16	Nantes	2022-23	38	7	15	16	37	55	-18	36	Ludovic Blas (7)	6	46.7	77.9	10.5	290	38	1	10	2	70	130	90	45	60	55
17	Auxerre	2022-23	38	8	11	19	35	63	-28	35	M'Baye Niang (6)	5	45.2	76.8	10.2	280	35	1	9	2	65	120	85	40	55	50
18	Ajaccio	2022-23	38	7	5	26	23	74	-51	26	Mounaïm El Idrissy (5)	4	43.9	75.6	9.8	260	30	1	7	2	55	100	75	30	45	40
19	Troyes	2022-23	38	4	12	22	45	81	-36	24	Mama Baldé (8)	3	44.5	76.2	10.0	270	33	1	8	2	60	110	80	35	50	45
20	Angers	2022-23	38	4	6	28	33	81	-48	18	Adrien Hunou (6)	2	42.5	74.8	9.2	250	28	1	6	1	50	90	70	25	40	35
