Rndrng_Prvdr_First_Name,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_Type,Tot_Benes,Bene_Avg_Age
zena,homan,obstetrics & gynecology,38,70
cherie,nienow,nurse practitioner,12,75
jennifer,iovinelli,nurse practitioner,26,72
tricia,tentinger,licensed clinical social worker,20,77
emily,de la rosa,nurse practitioner,19,73
casey,beal,ophthalmology,34,74
anna,barton,nurse practitioner,53,70
charles,warrington,nurse practitioner,16,76
jessica,mansuria,certified registered nurse anesthetist (crna),19,71
shelley,poliner,physical therapist in private practice,13,83
jennifer,jennings,nurse practitioner,18,75
lindsay,bishop,nurse practitioner,26,67
lindsey,ostermeier,nurse practitioner,36,64
gopal,lalchandani,orthopedic surgery,56,70
wendi,slavsky,licensed clinical social worker,15,73
bradon,bitter,general surgery,16,73
erin,rolfes,optometry,31,75
katherine,liss,certified registered nurse anesthetist (crna),30,69
camden,marcotte,physical therapist in private practice,33,67
christopher,herbs,physical therapist in private practice,29,74
laura,landry,speech language pathologist,12,72
eileen,janora,nurse practitioner,18,78
margaret,olsen,physical therapist in private practice,24,71
semper lumine,sojor,nurse practitioner,15,81
aimee,coliano,nurse practitioner,28,69
kelly,riggs,physical therapist in private practice,26,74
allison,kallman,physician assistant,19,64
megan,moore,occupational therapist in private practice,33,72
sam,lerner,chiropractic,21,74
eric,vial,physical therapist in private practice,22,71
karen,koplin,nurse practitioner,31,70
gary,walicki,chiropractic,48,71
ralph,dacey,neurosurgery,42,70
thomas,klein,obstetrics & gynecology,41,60
lynn,pagliaccio,physician assistant,21,69
mark,weissman,obstetrics & gynecology,36,68
ronald,adams,chiropractic,29,70
kimberly,romaine,chiropractic,14,72
todd,davis,chiropractic,17,71
kimberly,shriner,infectious disease,14,72
sara,edge,nurse practitioner,42,68
alicia,telega,optometry,42,72
colleen,cork,chiropractic,22,71
adon,pearson,physician assistant,21,70
donna,hines,physical therapist in private practice,38,73
ena,marsan,obstetrics & gynecology,30,72
katherine,hladky,obstetrics & gynecology,22,62
shelley,cutler-frankel,optometry,35,67
blake,wagner,"psychologist, clinical",12,71
rebecca,lanham,optometry,41,75
peter,mancini,anesthesiology,17,67
jacqueline,fullerton,chiropractic,23,74
deborah,mazza,occupational therapist in private practice,30,74
karen,kowalski,occupational therapist in private practice,18,83
mary,nybakken,obstetrics & gynecology,30,71
anju,nayar,obstetrics & gynecology,39,67
lukman,telufusi,physician assistant,18,66
elizabeth,schuld,certified registered nurse anesthetist (crna),43,70
jennifer,bulger,chiropractic,21,68
lindsay,mastrine,obstetrics & gynecology,44,69
kelly,obrien,physician assistant,19,68
susan,emmerling,obstetrics & gynecology,52,66
anne,colwart,nurse practitioner,38,71
michelle,palmer,certified registered nurse anesthetist (crna),21,70
justin,ramos,anesthesiology,21,69
rena,levy,nurse practitioner,41,67
crichton,hollingsworth,nurse practitioner,19,73
rachal,graff,physician assistant,39,68
alexandra,burke,obstetrics & gynecology,47,69
lauren,leggett,nurse practitioner,15,70
natalie,hague,physician assistant,35,74
colleen,lucas,nurse practitioner,29,69
monica,yue,audiologist,22,73
carla,spooner,nurse practitioner,18,65
hannah,catlin,speech language pathologist,21,75
shawn,schoppe,nurse practitioner,24,72
eric,ciabattoni,physical therapist in private practice,19,66
christina,yen,internal medicine,19,78
erik,gomez,nurse practitioner,21,72
christopher,payne,certified registered nurse anesthetist (crna),18,73
holly,kieda,nurse practitioner,15,70
molly,farrell,physical therapist in private practice,31,70
evelyn,ongechi,nurse practitioner,31,69
kerri,fenore,nurse practitioner,22,70
pari,shah,optometry,40,71
selena,kim,anesthesiology assistant,23,70
lacie,pennington,physical therapist in private practice,34,74
megan,foster,chiropractic,18,69
tarah,elrod,certified registered nurse anesthetist (crna),22,67
rayson,sorayama,physical therapist in private practice,37,71
adja,diakite,nurse practitioner,18,74
kelly,berg,physician assistant,21,69
emily,morales,occupational therapist in private practice,34,72
jillian,castellani,physician assistant,17,71
amrinder,jawandha,physician assistant,17,73
anthony,ignatovich,physician assistant,17,76
robert,little,obstetrics & gynecology,47,72
curtis,baird,chiropractic,35,74
robert,williamson,otolaryngology,30,71
orlando,arrazola,general practice,21,71
stephen,lee,hospitalist,19,75
tara,morris,physician assistant,23,67
david,bottger,plastic and reconstructive surgery,35,72
kristen,jahn,emergency medicine,21,72
stephen,bush,obstetrics & gynecology,42,68
lee,trotter,general surgery,24,71
dorothy,lee-evenson,obstetrics & gynecology,25,64
julia,wilson,nurse practitioner,25,61
seth,connor,anesthesiology,28,73
arthur,sonberg,neurology,54,71
robert,kamali,internal medicine,17,75
karen,kriza,emergency medicine,23,66
thomas,satterfield,anesthesiology,22,69
kenneth,ramey,osteopathic manipulative medicine,51,69
elena,kwetkowski,family practice,15,65
shea,lues,nurse practitioner,21,77
laura,oliver,physician assistant,20,76
dennis,morris,anesthesiology,27,74
virginia,o'connor,certified registered nurse anesthetist (crna),19,73
faustino,estella,vascular surgery,15,66
randy,wittman,obstetrics & gynecology,59,69
anna marie,chang,emergency medicine,20,71
steven,bernards,physician assistant,22,75
matthew,to,chiropractic,18,74
vladimir,frias,maxillofacial surgery,19,72
amy,dahlberg,physician assistant,21,70
frances,mccann,nurse practitioner,26,76
tracy,oberg,emergency medicine,21,66
james,hogg,physician assistant,34,71
kari,fay,obstetrics & gynecology,58,71
allison,royer,otolaryngology,45,72
geoffrey,yoon,advanced heart failure and transplant cardiology,20,72
james,mason,urology,14,67
joseph,allen,optometry,42,65
kimberley,chula-maguire,physical therapist in private practice,15,78
ernest,wheeler,physician assistant,25,76
james,sullivan,osteopathic manipulative medicine,46,71
frances,lee,general surgery,14,72
erin,kettler,physical therapist in private practice,27,69
inconnu,somnotrek llc,independent diagnostic testing facility (idtf),20,71
nathan,birno,physician assistant,28,69
alyssa,merkel,physician assistant,18,63
christina,sulkowski,physician assistant,32,74
heather,robbins,physician assistant,25,73
ashley,vanderbosch,physician assistant,22,72
daniel,odell,chiropractic,20,71
annie,schmidt,chiropractic,29,74
emily,covington,physical therapist in private practice,31,75
troy,buchanan,physician assistant,18,74
punith kumar,shivapura nanjundaiah,physical therapist in private practice,24,75
emily,mays,physical therapist in private practice,33,76
ryan,strain,physical therapist in private practice,34,75
champ,phuphanich,nurse practitioner,23,68
teddi,collins,physician assistant,13,74
catherine,aspinwall,internal medicine,21,78
cherie,farkash,optometry,23,73
randal,bensen,emergency medicine,19,69
cheryl,mingo,certified registered nurse anesthetist (crna),18,74
rick,daso,chiropractic,47,75
kim,thomas,nurse practitioner,24,75
gretta,gross,family practice,24,68
vincent,mathews,diagnostic radiology,36,70
melissa,henzes-dolhon,physical therapist in private practice,27,71
jessica,coe,physical therapist in private practice,26,73
matthew,boles,anesthesiology,17,75
gary,johnson,chiropractic,44,74
meghan,gomez,nurse practitioner,15,70
kadian,mcintosh,physician assistant,18,70
rashid,abu-shanab,chiropractic,26,74
john,marlow,chiropractic,17,64
mostafa,noury,plastic and reconstructive surgery,20,75
betty,lay,occupational therapist in private practice,28,72
jonathan,schaaf,internal medicine,18,76
ralph,yachoui,rheumatology,32,64
emily,ose,physician assistant,19,71
james,ferrell,physician assistant,48,68
kelly,bilof,nurse practitioner,34,71
stephanie,estes,chiropractic,40,75
allison,cooper,physician assistant,19,68
ashley,dowgiert,obstetrics & gynecology,17,65
kristina,smith,optometry,30,74
laura,buchanan,optometry,33,71
kevin,mahoney,obstetrics & gynecology,39,67
jason,overocker,physician assistant,23,75
mary,waterman,nurse practitioner,21,76
steven,lewis,physician assistant,21,68
katie,lynch,physician assistant,21,78
jacob,lytle,orthopedic surgery,14,75
katherine,bebeau,obstetrics & gynecology,30,68
candice,queen,certified registered nurse anesthetist (crna),55,70
eric,turner,chiropractic,39,73
ryan,davis,certified registered nurse anesthetist (crna),22,73
sara,roper,physician assistant,18,67
kara,kim,nurse practitioner,22,70
garrett,rumsby,physical therapist in private practice,18,68
marjorie,white,nurse practitioner,31,72
kelsey,kostreba,physician assistant,33,72
cassandra,mosher,physical therapist in private practice,37,71
jan,hardinger,certified registered nurse anesthetist (crna),20,72
selena,aloisio,optometry,25,72
trevor,peters,anesthesiology assistant,32,72
alyssa,matuszczak,nurse practitioner,20,78
mitchell,stedman,physician assistant,24,69
cecilia,gutwald,nurse practitioner,18,69
michelle,minoux,nurse practitioner,21,71
rhyce,hammaker,physician assistant,20,73
nabil,saleh,pediatric medicine,34,72
david,tannenbaum,obstetrics & gynecology,31,70
alia,ibrahim,emergency medicine,19,71
nagi,demian,maxillofacial surgery,25,70
joseph,duran,audiologist,22,81
lori,snow,physical therapist in private practice,26,73
holly,metzgar,obstetrics & gynecology,22,66
edmond,pack,obstetrics & gynecology,46,70
carl,allen,obstetrics & gynecology,34,68
eugene,gamburg,obstetrics & gynecology,48,69
rotimi,iluyomade,emergency medicine,23,73
ralph,weaver,certified registered nurse anesthetist (crna),24,71
katja,kiseljak-vassiliades,endocrinology,29,68
edward,gallucci,chiropractic,40,72
susan,schmidt,audiologist,32,75
jared,plemon,chiropractic,47,73
pamela,johnson,emergency medicine,17,73
deanna,sanchez,nurse practitioner,27,72
danielle,inman,obstetrics & gynecology,45,70
liezle,arevalo,certified registered nurse anesthetist (crna),21,68
karen,pranga,occupational therapist in private practice,36,71
amanda,hodel,physical therapist in private practice,31,69
matthew,mcdaniel,anesthesiology,17,65
inconnu,"sleep metric systems, inc",independent diagnostic testing facility (idtf),21,74
catherine,ribeiro,physician assistant,17,72
katie,barnett,anesthesiology,16,67
john,molina,hematology-oncology,21,72
kristin,huntoon,neurosurgery,15,70
tania,campagnoli,internal medicine,17,69
rachel,yenkowski,physician assistant,40,67
thymur,chaudhry,diagnostic radiology,12,74
starry,taylor hubbell,nurse practitioner,26,72
martin,asplund,general surgery,25,76
kyle,smerglia,chiropractic,29,68
tabatha,johnson,nurse practitioner,14,78
gokul,ramani,hospitalist,13,72
stephanie,sommers,physician assistant,17,76
benjamin,langford,physician assistant,33,71
stephanie,marrero-borrero,emergency medicine,18,63
christine,o'donnell,family practice,25,71
kristin,tammaro,nurse practitioner,12,72
katlin,fendler,nurse practitioner,13,69
ann,weisman,physician assistant,22,72
leila,mclawhorn,certified registered nurse anesthetist (crna),20,68
tori,ottaviano,physical therapist in private practice,28,74
kelsie,steinmetz,physical therapist in private practice,32,71
sarah,ziobro,nurse practitioner,23,75
danielle,venema,nurse practitioner,36,72
teja,booker,physical therapist in private practice,26,74
theodore,alexander,internal medicine,36,70
wallace,aungst,chiropractic,53,71
cindy,cerro-conlon,anesthesiology,16,71
wayne,trout,obstetrics & gynecology,34,62
matthew,hooper,chiropractic,42,70
chris,whelan,emergency medicine,23,69
paul,camnitz,otolaryngology,17,72
paul,land,chiropractic,24,73
jeffrey,cox,anesthesiology,20,71
anthony,dowidowicz,emergency medicine,17,73
kelly,hutcheson,ophthalmology,19,71
bethann,reynolds,speech language pathologist,34,74
jeremy,keenan,ophthalmology,39,71
robert,grazian,optometry,39,74
julie,wheir,obstetrics & gynecology,42,70
edward,fuzer,chiropractic,40,74
maurice,feldman,optometry,25,73
adam,resnikoff,podiatry,30,80
sara,perotti,nurse practitioner,18,77
kannan,muralikrishnan,obstetrics & gynecology,18,67
randolph,heinzel,obstetrics & gynecology,30,68
mark,rogerson,"psychologist, clinical",32,75
molly,mcgrail,physician assistant,20,70
andrew,berlowitz,anesthesiology,18,77
giovanna,llanes,certified registered nurse anesthetist (crna),20,75
kala,frederiksen,physical therapist in private practice,28,73
andrea,laudenslager,physical therapist in private practice,35,75
yu-ting,chung,optometry,39,77
kathleen,stahl,nurse practitioner,12,73
judy,chanthalangsy,optometry,32,74
nicole,smith,audiologist,37,75
reeti,sheoran,nurse practitioner,16,72
alexander,krohn,physical therapist in private practice,35,70
meifeng,shen,physician assistant,17,67
kyle,mackin,general surgery,29,68
dylan,klieber,physical therapist in private practice,15,79
kirby,chisholm,obstetrics & gynecology,34,67
andrew,peana,nurse practitioner,15,72
anna beth,deaton,physician assistant,19,76
julia,robertson,chiropractic,36,73
betty,zhang,optometry,31,75
brianne,hobson,physical therapist in private practice,15,72
joshua,fischer,physical therapist in private practice,37,71
austin,evans,obstetrics & gynecology,36,67
stephen,wallace,physical therapist in private practice,24,71
anant,shukla,hospitalist,15,75
travis,martin,emergency medicine,24,71
anna,slack,physician assistant,24,73
jasmine,serna,optometry,44,74
derek,schmack,certified registered nurse anesthetist (crna),14,72
jean,barker,physician assistant,17,72
christine,vong,audiologist,31,74
avinoam,nevler,general surgery,17,74
eliza,kaminski,nurse practitioner,29,78
katie,jubala,nurse practitioner,21,70
gabrielle,corpuz,physician assistant,14,75
brooke,morin,nurse practitioner,25,69
megan,santoni,physician assistant,17,64
haley,laque,physical therapist in private practice,25,71
elizabeth,masters,nurse practitioner,15,64
vernon,barney,anesthesiology,19,74
peter,pashley,internal medicine,24,65
sudhansu,chokroverty,neurology,22,70
ambrose,puttmann,obstetrics & gynecology,39,72
ronald,monacelli,optometry,28,69
jacalyn,nelson,sleep medicine,29,73
curtis,margo,pathology,29,73
jay,sandlow,urology,19,62
russell,fothergill,obstetrics & gynecology,30,65
michael,ray,certified registered nurse anesthetist (crna),54,71
michael,mouw,emergency medicine,22,67
andrea,brown,nurse practitioner,12,78
sushma,gorrela,family practice,15,72
terry,springer,general practice,13,71
richard,henker,certified registered nurse anesthetist (crna),18,68
stephen,white,orthopedic surgery,24,79
gregory,randle,certified registered nurse anesthetist (crna),31,68
william,mcdonald,chiropractic,39,72
paul,reed,chiropractic,21,74
elpidio,mariano,general surgery,29,71
qiana,sutton,physician assistant,13,76
kristine,weidner,emergency medicine,20,79
stacy,johnston,"psychologist, clinical",15,66
carol,learned,chiropractic,25,72
richard,nelson,emergency medicine,33,71
becky,doran,pediatric medicine,17,76
shah-naz,khan,neurosurgery,25,69
anupama,vansadia,obstetrics & gynecology,32,68
mary-ann,girgis,physician assistant,22,68
kristen,kemos,occupational therapist in private practice,39,71
megan,stone,family practice,20,74
dacia,pickering,general surgery,17,77
kathryn,genoshe,nurse practitioner,37,74
reo,pugao,maxillofacial surgery,21,67
chase,kissling,anesthesiology,19,77
jordan,kaltman,oral surgery (dentist only),37,74
courtney,martin,certified registered nurse anesthetist (crna),20,74
katherine,hyon,obstetrics & gynecology,27,60
sujata,saha,surgical oncology,22,72
lynda,tran,optometry,27,71
rachel,weinzimmer,physician assistant,24,74
kelly,german,optometry,43,71
fritz,brink,general surgery,14,76
luis,fernandez,general practice,16,74
alexandria elizabeth,jordan,physician assistant,25,72
ronald,bonaventura,nurse practitioner,12,72
alicia,pendergrass,nurse practitioner,24,65
jill,smith,chiropractic,41,74
jason,lundmark,physical therapist in private practice,32,74
april,ehrlich,geriatric medicine,15,71
jyun-you,liou,anesthesiology,31,73
akanksha,murray,obstetrics & gynecology,31,69
christopher,emmert,chiropractic,32,67
brandon,rapier,internal medicine,13,66
devon,gaines,emergency medicine,16,74
anna,emanuel,family practice,67,67
mengjie,wu,anesthesiology,34,69
alex,popko,obstetrics & gynecology,19,71
jennifer,langrock,occupational therapist in private practice,49,73
andrea,lingenfelter,nurse practitioner,14,76
myna,ojiabo,physician assistant,14,68
jennifer,jond,physician assistant,14,72
michele,kotis,nurse practitioner,38,64
benjamin,halloran,emergency medicine,21,75
riley,ackerman,physician assistant,19,70
alexa,johnson,nurse practitioner,18,73
veronica,baah,nurse practitioner,33,72
samantha,bohn,physician assistant,19,73
katie,parmentier,occupational therapist in private practice,17,66
jennifer,martinez,physician assistant,18,68
alexandra,kimball,dermatology,50,66
patrick,masters,gastroenterology,19,68
leroy,adler,diagnostic radiology,14,72
curtis,winters,anesthesiology,19,72
jill,dortch,chiropractic,54,73
joseph,fodero,plastic and reconstructive surgery,22,74
jeffrey,brooks,vascular surgery,24,75
madhu,bajaj,internal medicine,17,80
seanna,thompson,obstetrics & gynecology,29,76
cynthia,kubu,"psychologist, clinical",23,75
patti,bowman,physician assistant,20,64
mary,kelly,physical therapist in private practice,29,72
jean,edsall,family practice,38,76
steven,kjobech,diagnostic radiology,32,72
boyce,stuart,chiropractic,44,77
michelle,mazzarella,physical therapist in private practice,28,73
