player_name,standardized_club
Antonio Valencia,Manchester United
Mame Diouf,Manchester United
Gabriel Obertan,Manchester United
Michael Owen,Manchester United
Scott Moffatt,Manchester United
Fraizer Campbell,Manchester United
Scott Moffatt,Manchester United
James Chester,Manchester United
Danny Drinkwater,Manchester United
Tom Heaton,Manchester United
Tom Cleverley,Manchester United
Sam Hewson,Manchester United
Cristiano Ronaldo,Manchester United
Fraizer Campbell,Manchester United
Manucho,Manchester United
Lee Martin,Manchester United
Tom Heaton,Manchester United
Ben Amos,Manchester United
James Chester,Manchester United
David Gray,Manchester United
Scott Moffatt,Manchester United
Tom Cleverley,Manchester United
Danny Drinkwater,Manchester United
Danny Simpson,Manchester United
Mame Diouf,Manchester United
Rodrigo Possebon,Manchester United
Glen Johnson,Liverpool
Alberto Aquilani,Liverpool
Sotiris Kyrgiakos,Liverpool
Lauri Dalla Valle,Liverpool
Dani Pacheco,Liverpool
Stephen Darby,Liverpool
Péter Gulácsi,Liverpool
Jack Hobbs,Liverpool
Miki Roqué,Liverpool
Robbie Threlfall,Liverpool
Jay Spearing,Liverpool
Nathan Eccleston,Liverpool
Robbie Threlfall,Liverpool
Andriy Voronin,Liverpool
Sebastián Leto,Liverpool
Xabi Alonso,Liverpool
Sebastián Leto,Liverpool
Álvaro Arbeloa,Liverpool
Charles Itandje,Liverpool
Jermaine Pennant,Liverpool
Miki Roqué,Liverpool
Sami Hyypiä,Liverpool
Astrit Ajdarevic,Liverpool
Jack Hobbs,Liverpool
David Martin,Liverpool
Robbie Threlfall,Liverpool
Robbie Threlfall,Liverpool
András Simon,Liverpool
Krisztián Németh,Liverpool
Godwin Antwi,Liverpool
Ryan Crowther,Liverpool
Yuri Zhirkov,Chelsea
Daniel Sturridge,Chelsea
Nemanja Matic,Chelsea
Ross Turnbull,Chelsea
Jeffrey Bruma,Chelsea
Fabio Borini,Chelsea
Patrick van Aanholt,Chelsea
Ben Sahar,Chelsea
Franco Di Santo,Chelsea
Scott Sinclair,Chelsea
Michael Mancienne,Chelsea
Ryan Bertrand,Chelsea
Andriy Shevchenko,Chelsea
Claudio Pizarro,Chelsea
Claudio Pizarro,Chelsea
Ben Sahar,Chelsea
Miroslav Stoch,Chelsea
Mineiro,Chelsea
Andriy Shevchenko,Chelsea
Michael Mancienne,Chelsea
Patrick van Aanholt,Chelsea
Franco Di Santo,Chelsea
Ryan Bertrand,Chelsea
Lee Sawyer,Chelsea
Scott Sinclair,Chelsea
Ricardo Quaresma,Chelsea
Thomas Vermaelen,Arsenal
Sanchez Watt,Arsenal
Jay Emmanuel-Thomas,Arsenal
Gavin Hoyte,Arsenal
Philippe Senderos,Arsenal
Philippe Senderos,Arsenal
Wojciech Szczesny,Arsenal
Henri Lansbury,Arsenal
Jack Wilshere,Arsenal
Kerrea Gilbert,Arsenal
Sanchez Watt,Arsenal
Pedro Botelho,Arsenal
Emmanuel Adebayor,Arsenal
Kolo Touré,Arsenal
Amaury Bischoff,Arsenal
Rene Steer,Arsenal
Henri Lansbury,Arsenal
Pedro Botelho,Arsenal
Jay Emmanuel-Thomas,Arsenal
Gavin Hoyte,Arsenal
Diniyar Bilyaletdinov,Everton
Johnny Heitinga,Everton
Sylvain Distin,Everton
Anton Peterlin,Everton
Lucas Neill,Everton
Jose Baxter,Everton
Adam Forshaw,Everton
Kieran Agard,Everton
John Ruddy,Everton
Lukas Jutkiewicz,Everton
John Ruddy,Everton
Seamus Coleman,Everton
James Vaughan,Everton
Joleon Lescott,Everton
Scott Spencer,Everton
John Paul Kissock,Everton
Lars Christian Jacobsen,Everton
John Irving,Everton
John Ruddy,Everton
James Vaughan,Everton
Lukas Jutkiewicz,Everton
Nuno Valente,Everton
Andy van der Meyde,Everton
Segundo Castillo,Everton
Philippe Senderos,Everton
Stewart Downing,Aston Villa
Fabian Delph,Aston Villa
Stephen Warnock,Aston Villa
Richard Dunne,Aston Villa
James Collins,Aston Villa
Habib Bèye,Aston Villa
Andy Marshall,Aston Villa
