Name,Age,Nationality,Last Club,Avg Points/Game,Profile URL
Joachim Löw,,N/A,N/A,Joachim Löw,https://www.transfermarkt.com/joachim-low/profil/trainer/495
Telat Üzüm,,N/A,N/A,Telat Üzüm,https://www.transfermarkt.com/telat-uzum/profil/trainer/7589
Erik ten Hag,,N/A,N/A,Erik ten Hag,https://www.transfermarkt.com/erik-ten-hag/profil/trainer/3816
Xavi,,N/A,N/A,Xavi,https://www.transfermarkt.com/xavi/profil/trainer/59876
Walter Mazzarri,,N/A,N/A,Walter Mazzarri,https://www.transfermarkt.com/walter-mazzarri/profil/trainer/1933
Massimiliano Allegri,,N/A,N/A,Massimiliano Allegri,https://www.transfermarkt.com/massimiliano-allegri/profil/trainer/7671
Edin Terzic,,N/A,N/A,Edin Terzic,https://www.transfermarkt.com/edin-terzic/profil/trainer/14226
Nuri Şahin,,N/A,N/A,Nuri Şahin,https://www.transfermarkt.com/nuri-sahin/profil/trainer/96813
Julen Lopetegui,,N/A,N/A,Julen Lopetegui,https://www.transfermarkt.com/julen-lopetegui/profil/trainer/6615
Albert Celades,,N/A,N/A,Albert Celades,https://www.transfermarkt.com/albert-celades/profil/trainer/34279
Kasper Hjulmand,,N/A,N/A,Kasper Hjulmand,https://www.transfermarkt.com/kasper-hjulmand/profil/trainer/5372
Gary O'Neil,,N/A,N/A,Gary O'Neil,https://www.transfermarkt.com/gary-oneil/profil/trainer/82647
Roger Schmidt,,N/A,N/A,Roger Schmidt,https://www.transfermarkt.com/roger-schmidt/profil/trainer/3865
Vítor Bruno,,N/A,N/A,Vítor Bruno,https://www.transfermarkt.com/vitor-bruno/profil/trainer/36963
Sam Allardyce,,N/A,N/A,Sam Allardyce,https://www.transfermarkt.com/sam-allardyce/profil/trainer/445
Dunga,,N/A,N/A,Dunga,https://www.transfermarkt.com/dunga/profil/trainer/3592
Sean Dyche,,N/A,N/A,Sean Dyche,https://www.transfermarkt.com/sean-dyche/profil/trainer/15856
Javi Gracia,,N/A,N/A,Javi Gracia,https://www.transfermarkt.com/javi-gracia/profil/trainer/10254
Brian Priske,,N/A,N/A,Brian Priske,https://www.transfermarkt.com/brian-priske/profil/trainer/19874
Russell Martin,,N/A,N/A,Russell Martin,https://www.transfermarkt.com/russell-martin/profil/trainer/74204
Steve Cooper,,N/A,N/A,Steve Cooper,https://www.transfermarkt.com/steve-cooper/profil/trainer/37574
Ben Futcher,,N/A,N/A,Ben Futcher,https://www.transfermarkt.com/ben-futcher/profil/trainer/32175
Rubén Baraja,,N/A,N/A,Rubén Baraja,https://www.transfermarkt.com/ruben-baraja/profil/trainer/19552
