Nom,Position,Nationalité,Âge,Club,Valeur marchande,Chemin image
Erling Haaland,Erling Haaland,Norway,24,Manchester City,€200.00m,joueurs_images\Erling_Haaland.jpg
Vinicius Junior,Vinicius Junior,"Brazil, Spain",24,Real Madrid,€200.00m,joueurs_images\Vinicius_Junior.jpg
Lamine Yamal,Lamine Yamal,"Spain, Equatorial Guinea",17,FC Barcelona,€180.00m,joueurs_images\Lamine_Yamal.jpg
Jude Bellingham,Jude Bellingham,"England, Ireland",21,Real Madrid,€180.00m,joueurs_images\Jude_Bellingham.jpg
Kylian Mbappé,Kylian Mbappé,"France, Cameroon",26,Real Madrid,€160.00m,joueurs_images\Kylian_Mbappé.jpg
Bukayo Saka,Bukayo Saka,"England, Nigeria",23,Arsenal FC,€150.00m,joueurs_images\Bukayo_Saka.jpg
Florian Wirtz,Florian Wirtz,Germany,21,Bayer 04 Leverkusen,€140.00m,joueurs_images\Florian_Wirtz.jpg
Jamal Musiala,Jamal Musiala,"Germany, England",21,Bayern Munich,€140.00m,joueurs_images\Jamal_Musiala.jpg
Phil Foden,Phil Foden,England,24,Manchester City,€140.00m,joueurs_images\Phil_Foden.jpg
Cole Palmer,Cole Palmer,England,22,Chelsea FC,€130.00m,joueurs_images\Cole_Palmer.jpg
Federico Valverde,Federico Valverde,"Uruguay, Spain",26,Real Madrid,€130.00m,joueurs_images\Federico_Valverde.jpg
Rodri,Rodri,Spain,28,Manchester City,€130.00m,joueurs_images\Rodri.jpg
Declan Rice,Declan Rice,"England, Ireland",26,Arsenal FC,€110.00m,joueurs_images\Declan_Rice.jpg
Martin Ødegaard,Martin Ødegaard,Norway,26,Arsenal FC,€110.00m,joueurs_images\Martin_Ødegaard.jpg
Pedri,Pedri,Spain,22,FC Barcelona,€100.00m,joueurs_images\Pedri.jpg
Rodrygo,Rodrygo,"Brazil, Spain",24,Real Madrid,€100.00m,joueurs_images\Rodrygo.jpg
Lautaro Martínez,Lautaro Martínez,Argentina,27,Inter Milan,€100.00m,joueurs_images\Lautaro_Martínez.jpg
Harry Kane,Harry Kane,England,31,Bayern Munich,€90.00m,joueurs_images\Harry_Kane.jpg
Khvicha Kvaratskhelia,Khvicha Kvaratskhelia,Georgia,24,Paris Saint-Germain,€85.00m,joueurs_images\Khvicha_Kvaratskhelia.jpg
Luis Díaz,Luis Díaz,Colombia,28,Liverpool FC,€85.00m,joueurs_images\Luis_Díaz.jpg
Moisés Caicedo,Moisés Caicedo,Ecuador,23,Chelsea FC,€80.00m,joueurs_images\Moisés_Caicedo.jpg
Gavi,Gavi,Spain,20,FC Barcelona,€80.00m,joueurs_images\Gavi.jpg
Eduardo Camavinga,Eduardo Camavinga,"France, Congo",22,Real Madrid,€80.00m,joueurs_images\Eduardo_Camavinga.jpg
Julián Alvarez,Julián Alvarez,"Argentina, Italy",25,Atlético de Madrid,€80.00m,joueurs_images\Julián_Alvarez.jpg
Xavi Simons,Xavi Simons,"Netherlands, Suriname",21,RB Leipzig,€80.00m,joueurs_images\Xavi_Simons.jpg
Mikel Oyarzabal,Mikel Oyarzabal,Spain,27,Real Sociedad,€35.00m,joueurs_images\Mikel_Oyarzabal.jpg
Fabián Ruiz,Fabián Ruiz,Spain,28,Paris Saint-Germain,€35.00m,joueurs_images\Fabián_Ruiz.jpg
Gianluigi Donnarumma,Gianluigi Donnarumma,Italy,25,Paris Saint-Germain,€35.00m,joueurs_images\Gianluigi_Donnarumma.jpg
Brahim Díaz,Brahim Díaz,"Morocco, Spain",25,Real Madrid,€35.00m,joueurs_images\Brahim_Díaz.jpg
Brais Méndez,Brais Méndez,Spain,28,Real Sociedad,€35.00m,joueurs_images\Brais_Méndez.jpg
Guglielmo Vicario,Guglielmo Vicario,Italy,28,Tottenham Hotspur,€35.00m,joueurs_images\Guglielmo_Vicario.jpg
Kingsley Coman,Kingsley Coman,"France, Guadeloupe",28,Bayern Munich,€35.00m,joueurs_images\Kingsley_Coman.jpg
André Onana,André Onana,Cameroon,28,Manchester United,€35.00m,joueurs_images\André_Onana.jpg
Julian Brandt,Julian Brandt,Germany,28,Borussia Dortmund,€35.00m,joueurs_images\Julian_Brandt.jpg
Mike Maignan,Mike Maignan,"France, French Guiana",29,AC Milan,€35.00m,joueurs_images\Mike_Maignan.jpg
Nathan Aké,Nathan Aké,"Netherlands, Cote d'Ivoire",30,Manchester City,€35.00m,joueurs_images\Nathan_Aké.jpg
Serge Gnabry,Serge Gnabry,"Germany, Cote d'Ivoire",29,Bayern Munich,€35.00m,joueurs_images\Serge_Gnabry.jpg
Kevin De Bruyne,Kevin De Bruyne,Belgium,33,Manchester City,€35.00m,joueurs_images\Kevin_De_Bruyne.jpg
Adam Wharton,Adam Wharton,England,21,Crystal Palace,€32.00m,joueurs_images\Adam_Wharton.jpg
Georgiy Sudakov,Georgiy Sudakov,Ukraine,22,Shakhtar Donetsk,€32.00m,joueurs_images\Georgiy_Sudakov.jpg
Jean-Clair Todibo,Jean-Clair Todibo,"France, French Guiana",25,West Ham United,€32.00m,joueurs_images\Jean-Clair_Todibo.jpg
Jan Paul van Hecke,Jan Paul van Hecke,Netherlands,24,Brighton & Hove Albion,€32.00m,joueurs_images\Jan_Paul_van_Hecke.jpg
Georginio Rutter,Georginio Rutter,"France, Martinique",22,Brighton & Hove Albion,€32.00m,joueurs_images\Georginio_Rutter.jpg
Jacob Ramsey,Jacob Ramsey,England,23,Aston Villa,€32.00m,joueurs_images\Jacob_Ramsey.jpg
Ian Maatsen,Ian Maatsen,"Netherlands, Suriname",22,Aston Villa,€32.00m,joueurs_images\Ian_Maatsen.jpg
