Name,Specialty,Location,Services,Profile Link
Dr Hajer ATTIA,Médecin Physique Réadaptateur,L'aouina Tunis                                Tunisie,"Réeducation fonctionnelle d'une paralysie faciale, Pathologies de l’appareil locomoteur à orientation rhumatologique et neurologique, Balnéothérapie, Pathologies Rachidiennes, Rééducation prinéale, Kiné respiratoire",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/tunis/dr-hajer-attia-226246.html
Dr Rim BRAHAM,Médecin Physique Réadaptateur,Sousse                                Tunisie,"Rééducation en Traumatologie, Gymnastique posturale correctrice, Les AVC hémorragiques ou ischémiques, Técarthérapie, Microneedling",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/sousse/dr-rim-braham-221911.html
Dr Islem MEGDICHE,Médecin Physique Réadaptateur,Gabes Medina Gabes                                Tunisie,"Rééducation neurologique, rhumatologique et traumatologique, Bilan ano-rectal, Réeducation appliquée à la chirurgie thoracique (Pré-postopératoire), Apprentissage des auto sondages intermittents (ASI), Pathologies de l’appareil locomoteur à orientation rhumatologique et neurologique",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/gabes/dr-islem-megdiche-221600.html
Dr Nesrine BELGUITH BEN ZAIED,Médecin Physique Réadaptateur,Ezzahra Ben arous                                Tunisie,"prise en charge du pied de patient arthrosique, prise en charge du pied de patient artéritique, Rééducation pour pieds bot varus équin, Taping Starpping, Arthromoteur Kinetec, appareil de rééducation Genou",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/ben-arous/dr-nesrine-belguith-ben-zaied-218484.html
Dr Slama SAMIRA,Médecin Physique Réadaptateur,Sousse Ville Sousse                                Tunisie,"Bilan Urodynamique, Alcoolisation / Phénolisation neurolytique, Traitement de Ponseti pour pied bot varus équin, Réadaptation à l'effort cardiovasculaire et respiratoire, Mésothérapie anti-douleur",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/sousse/dr-slama-samira-26288.html
Dr Khaoula GUEDRIA HASSAYOUN,Médecin Physique Réadaptateur,Nabeul                                Tunisie,"Réeducation fonctionnelle d'une paralysie faciale, Bilan ano-rectal, rééducation avec MPR, Técarthérapie, Balnéothérapie",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/nabeul/dr-khaoula-guedria-hassayoun-204232.html
Dr Hanene KHIARI JAZIRI,Médecin Physique Réadaptateur,Menzel Temime Nabeul                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/nabeul/dr-hanene-khiari-jaziri-204470.html
Dr Leila HAMADOU,Médecin Physique Réadaptateur,Sousse Khezama Sousse                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/sousse/dr-leila-hamadou-225752.html
Pr Imen MIRI OUARDANI,Médecin Physique Réadaptateur,Ksar Said Mannouba                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/mannouba/pr-imen-miri-ouardani-217567.html
Dr Yousra EL FENDRI HAJJAJI,Médecin Physique Réadaptateur,Monastir                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/monastir/dr-yousra-el-fendri-hajjaji-11805.html
Dr Saif JERBI,Médecin Physique Réadaptateur,Sfax Ville Sfax                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/sfax/dr-saif-jerbi-204076.html
Pr Anis JELLAD,Médecin Physique Réadaptateur,Monastir                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/monastir/pr-anis-jellad-11146.html
Dr Maher MOALLA,Médecin Physique Réadaptateur,El Manar 1 Tunis                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/tunis/dr-maher-moalla-30988.html
CENTRE KAROUI,Médecin Physique Réadaptateur,El Menzah 6 Ariana                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/ariana/--centre-karoui-25625.html
Dr Iskander GHATTASSI,Médecin Physique Réadaptateur,Sfax El Jadida Sfax                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/sfax/dr-iskander-ghattassi-21534.html
Dr Taha MNIF,Médecin Physique Réadaptateur,Montplaisir Tunis                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/tunis/dr-taha-mnif-18774.html
Dr Abid ZOUBEIR,Médecin Physique Réadaptateur,La Marsa Tunis                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/tunis/dr-abid-zoubeir-17210.html
Pr Zohra BEN SALAH FRIH,Médecin Physique Réadaptateur,Monastir                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/monastir/pr-zohra-ben-salah-frih-11816.html
Mr Heykel TBIB,Kinésithérapeute,El Haouaria Nabeul                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/kinesitherapeute/nabeul/mr-heykel-tbib-28896.html
Dr Hajer ATTIA,Médecin Physique Réadaptateur,L'aouina Tunis                                Tunisie,"Rééducation prinéale, Kiné respiratoire, Réeducation fonctionnelle d'une paralysie faciale, Piscine de rééducation, Mésothérapie anti-douleur, Pathologies Rachidiennes",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/tunis/dr-hajer-attia-226246.html
Dr Rim BRAHAM,Médecin Physique Réadaptateur,Sousse                                Tunisie,"Rééducation pour pieds bot varus équin, Ostéopathie, Dry Needling, Rééducation périnéale, Taping Starpping",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/sousse/dr-rim-braham-221911.html
Dr Islem MEGDICHE,Médecin Physique Réadaptateur,Gabes Medina Gabes                                Tunisie,"Bilan Urodynamique, Rééducation neurologique, rhumatologique et traumatologique, Injection de toxine botulique (neuro-spasticité, torticolis spasmodique, hémi-spasme facial...)l, Pathologies Rachidiennes, Réeducation fonctionnelle d'une paralysie faciale",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/gabes/dr-islem-megdiche-221600.html
Dr Nesrine BELGUITH BEN ZAIED,Médecin Physique Réadaptateur,Ezzahra Ben arous                                Tunisie,"Réeducation maxillo-faciale, Rééducation post-opératoire, La Sclérose en Plaques (SEP), Plexus brachial chez le nouveau né, Capsulite rétractile des épaules",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/ben-arous/dr-nesrine-belguith-ben-zaied-218484.html
Dr Slama SAMIRA,Médecin Physique Réadaptateur,Sousse Ville Sousse                                Tunisie,"Mésothérapie anti-douleur, Alcoolisation / Phénolisation neurolytique, Bilan Urodynamique, Traitement de Ponseti pour pied bot varus équin, Réadaptation à l'effort cardiovasculaire et respiratoire",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/sousse/dr-slama-samira-26288.html
Dr Khaoula GUEDRIA HASSAYOUN,Médecin Physique Réadaptateur,Nabeul                                Tunisie,"Thérapie par onde de choc, thérapie par Prp, Rééducation prinéale, Kiné respiratoire, Mésothérapie anti-douleur, Técarthérapie, Fasciathérapie",https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/nabeul/dr-khaoula-guedria-hassayoun-204232.html
Dr Hanene KHIARI JAZIRI,Médecin Physique Réadaptateur,Menzel Temime Nabeul                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/nabeul/dr-hanene-khiari-jaziri-204470.html
Dr Leila HAMADOU,Médecin Physique Réadaptateur,Sousse Khezama Sousse                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/sousse/dr-leila-hamadou-225752.html
Pr Imen MIRI OUARDANI,Médecin Physique Réadaptateur,Ksar Said Mannouba                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/mannouba/pr-imen-miri-ouardani-217567.html
Dr Yousra EL FENDRI HAJJAJI,Médecin Physique Réadaptateur,Monastir                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/monastir/dr-yousra-el-fendri-hajjaji-11805.html
Dr Saif JERBI,Médecin Physique Réadaptateur,Sfax Ville Sfax                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/sfax/dr-saif-jerbi-204076.html
Pr Anis JELLAD,Médecin Physique Réadaptateur,Monastir                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/monastir/pr-anis-jellad-11146.html
Dr Maher MOALLA,Médecin Physique Réadaptateur,El Manar 1 Tunis                                Tunisie,,https://www.med.tnhttps://www.med.tn/medecin/medecin-physique-readaptateur/tunis/dr-maher-moalla-30988.html
