name,club,preffered_formation,coaching_licence,age,avg_term_as_coach
Pep Guardiola,Man City,4-3-3 Attacking,SEG,50.0,3.38
Ole Gunnar Solskjaer,Without Club,4-2-3-1,Jim Solbakken,48.0,2.05
Thomas Tuchel,Chelsea,3-4-2-1,Dr. Olaf Meinking,48.0,2.28
Jürgen Klopp,Liverpool,4-3-3 Attacking,UEFA Pro Licence,54.0,5.4
Nuno Espírito Santo,Without Club,3-4-3,Gestifute,47.0,1.76
Brendan Rodgers,Leicester,4-2-3-1,UEFA Pro Licence,48.0,2.02
Rafael Benítez,Everton,4-2-3-1,Manuel García ...,61.0,1.91
Dean Smith,Norwich,4-2-3-1,UEFA Pro Licence,50.0,2.75
Bruno Lage,Wolves,5-4-1,Gestifute,45.0,1.31
David Moyes,West Ham,4-2-3-1,UEFA Pro Licence,58.0,3.23
Marcelo Bielsa,Leeds,4-1-4-1,UEFA Pro Licence,66.0,1.83
Graham Potter,Brighton,4-2-3-1,UEFA Pro Licence,46.0,3.65
Ralph Hasenhüttl,Southampton,4-4-2 double 6,UEFA Pro Licence,54.0,2.09
Patrick Vieira,Crystal Palace,4-3-3 Attacking,Sport Cover,45.0,2.06
Graeme Jones,Newcastle,4-3-1-2,UEFA Pro Licence,51.0,0.51
Thomas Frank,Brentford,4-3-3 Attacking,Elite Consulting,48.0,2.11
Daniel Farke,Without Club,4-2-3-1,UEFA Pro Licence,45.0,4.07
Claudio Ranieri,Watford,4-4-1-1,Only4Stars,70.0,1.3
Mikel Arteta,Arsenal,4-2-3-1,-,39.0,2.05
Sean Dyche,Burnley,4-4-2 double 6,-,50.0,4.07
Simone Inzaghi,Inter,3-5-2 flat,UEFA Pro Licence,45.0,1.92
Luciano Spalletti,SSC Napoli,4-2-3-1,UEFA Pro Licence,62.0,1.44
Stefano Pioli,AC Milan,4-2-3-1,GG11 s.r.l.,56.0,1.2
José Mourinho,AS Roma,4-2-3-1,Gestifute,58.0,1.79
Gian Piero Gasperini,Atalanta BC,3-4-2-1,GOAL CLUB,63.0,2.77
Maurizio Sarri,Lazio,4-3-3 Attacking,LIAN Sports Group,62.0,1.15
Vincenzo Italiano,Fiorentina,4-3-3 Attacking,UEFA Pro Licence,44.0,0.88
Alessio Dionisi,Sassuolo,4-3-1-2,Italian Managers ...,41.0,0.98
Ivan Juric,Torino,3-4-2-1,UEFA Pro Licence,46.0,0.84
Walter Mazzarri,Cagliari Calcio,4-4-2 double 6,UEFA Pro Licence,60.0,1.64
Sinisa Mihajlovic,Bologna,4-2-3-1,UEFA Pro Licence,52.0,1.2
Roberto D'Aversa,Sampdoria,4-3-3 Attacking,UEFA Pro Licence,46.0,1.54
Igor Tudor,Hellas Verona,3-4-2-1,UEFA Pro Licence,43.0,0.74
Luca Gotti,Without Club,3-5-2 flat,UEFA Pro Licence,54.0,1.31
Davide Ballardini,Without Club,3-5-2 flat,P&P Sport ...,58.0,0.96
Aurelio Andreazzoli,FC Empoli,4-3-1-2,UEFA Pro Licence,68.0,0.89
Thiago Motta,Spezia Calcio,4-2-3-1,UEFA Pro Licence,39.0,0.56
Paolo Zanetti,Venezia,4-3-3 Attacking,UEFA Pro Licence,39.0,1.22
Stefano Colantuono,Salernitana,4-3-1-2,UEFA Pro Licence,59.0,1.11
Massimiliano Allegri,Juventus,3-5-2 flat,-,54.0,1.76
Massimiliano Allegri,Juventus,3-5-2 flat,-,54.0,1.76
Carlo Ancelotti,Real Madrid,4-3-3 Attacking,CAA Base Ltd,62.0,2.09
Diego Simeone,Atlético Madrid,4-4-2 double 6,UEFA Pro Licence,51.0,2.09
Ronald Koeman,Without Club,4-3-3 Attacking,Wasserman,58.0,1.65
Julen Lopetegui,Sevilla FC,4-3-3 Attacking,UEFA Pro Licence,55.0,1.77
Imanol Alguacil,Real Sociedad,4-2-3-1,YOU FIRST SPORTS ,50.0,2.28
Unai Emery,Villarreal,4-4-2 double 6,AC Talent,50.0,2.03
Pepe Bordalás,Valencia,4-4-2,InterStarDeporte,57.0,1.57
Manuel Pellegrini,Real Betis,4-2-3-1,no agent,68.0,1.91
Marcelino,Athletic,4-4-2,Eugenio Botas ...,56.0,1.6
Quique Sánchez Flores,Getafe,5-3-2,Relatives,56.0,1.45
Eduardo Coudet,Celta de Vigo,4-4-2 Diamond,Scorefutbol,47.0,1.29
Vicente Moreno,Espanyol,4-2-3-1,Promoesport,47.0,2.06
"Javier Pereira,Without Club,1966-05-13,55,Badajoz,Spain,2021-03-03,2023-06-30,""SOCCERMEDIA, S.L."",1.36,5-3-2,La Liga,Spain",,,,,
Jagoba Arrasate,CA Osasuna,4-4-2 double 6,YOU FIRST SPORTS ,43.0,2.38
Robert Moreno,Granada CF,4-3-3 Attacking,Relatives,44.0,0.44
Luis García,RCD Mallorca,Unknown,1.32 Years,49.0,4.0
