name,team_name,league,registered_position,age,speed,acceleration,dribbling,ball_control,low_pass,finishing,defensive_awareness,physical_contact,stamina,kicking_power,heading,tight_possession
L. MESSI,FC BARCELONA,Spanish League,RWF,33,81,90,97,96,90,95,45,70,78,82,70,96
C. RONALDO,JUVENTUS,Serie A TIM,LWF,35,85,87,89,90,83,91,50,87,86,92,93,88
R. LEWANDOWSKI,FC BAYERN MÜNCHEN,Other European Leagues,CF,32,83,79,85,91,73,92,50,84,79,89,88,82
NEYMAR,PSG,Ligue 1 Uber Eats,LWF,28,86,91,96,92,89,87,45,62,80,81,65,95
K. DE BRUYNE,MANCHESTER B,English League,AMF,29,79,77,88,92,96,83,66,73,88,88,63,92
J. OBLAK,MADRID ROSAS RB,Spanish League,GK,27,65,61,54,65,65,40,54,87,65,84,68,46
V. VAN DIJK,LIVERPOOL R,English League,CB,29,79,74,75,76,82,62,95,94,85,85,92,80
K. MBAPPÉ,PSG,Ligue 1 Uber Eats,CF,22,96,97,94,89,78,87,59,78,84,80,77,89
SERGIO RAMOS,MADRID CHAMARTIN B,Spanish League,CB,34,79,75,76,78,76,66,86,85,84,78,94,79
S. AGÜERO,MANCHESTER B,English League,CF,32,83,85,86,87,78,93,50,73,78,85,78,88
S. MANÉ,LIVERPOOL R,English League,LWF,28,94,95,89,89,75,85,50,70,85,81,77,90
ALISSON,LIVERPOOL R,English League,GK,28,65,68,65,68,69,43,51,87,65,84,70,67
M. NEUER,FC BAYERN MÜNCHEN,Other European Leagues,GK,34,60,53,59,66,66,40,62,87,66,87,70,56
L. SUÁREZ,FC BARCELONA,Spanish League,CF,33,70,76,83,84,80,88,52,86,84,85,78,84
CASEMIRO,MADRID CHAMARTIN B,Spanish League,DMF,28,75,74,72,81,84,68,88,90,92,87,83,76
H. KANE,TOTTENHAM WB,English League,CF,27,78,75,78,83,80,93,50,85,88,87,87,79
M. SALAH,LIVERPOOL R,English League,RWF,28,92,88,87,90,80,85,50,69,84,78,61,90
M. TER STEGEN,FC BARCELONA,Spanish League,GK,28,65,63,51,65,65,42,49,83,65,85,60,60
K. BENZEMA,MADRID CHAMARTIN B,Spanish League,CF,33,80,77,85,91,83,86,50,83,80,84,85,88
T. KROOS,MADRID CHAMARTIN B,Spanish League,CMF,30,72,76,78,94,92,80,74,80,82,87,65,82
E. HAZARD,MADRID CHAMARTIN B,Spanish League,LWF,29,87,91,95,91,84,83,50,67,80,80,60,88
BUSQUETS,FC BARCELONA,Spanish League,DMF,32,67,69,83,87,90,62,85,83,86,73,77,91
P. AUBAMEYANG,ARSENAL,English League,CF,31,96,94,80,82,72,88,50,74,84,81,80,82
DAVID DE GEA,MANCHESTER UNITED,English League,GK,30,66,63,43,60,65,42,43,80,60,74,70,48
THIAGO,FC BAYERN MÜNCHEN,Other European Leagues,CMF,29,72,81,90,92,92,75,56,63,81,78,61,93
A. GRIEZMANN,FC BARCELONA,Spanish League,LWF,29,80,84,86,91,85,86,53,68,86,80,83,86
R. VARANE,MADRID CHAMARTIN B,Spanish League,CB,27,86,81,69,80,77,57,88,89,83,75,86,70
T. COURTOIS,MADRID CHAMARTIN B,Spanish League,GK,28,62,61,43,60,60,44,65,88,60,76,70,50
R. STERLING,MANCHESTER B,English League,LWF,26,92,95,90,88,82,81,50,65,83,79,60,85
EDERSON,MANCHESTER B,English League,GK,27,66,67,60,72,76,40,61,83,60,92,60,67
P. DYBALA,JUVENTUS,Serie A TIM,SS,27,82,86,88,89,84,85,49,64,80,86,65,90
N. KANTÉ,CHELSEA B,English League,CMF,29,80,85,80,82,86,69,94,78,96,73,64,84
J. KIMMICH,FC BAYERN MÜNCHEN,Other European Leagues,DMF,25,80,85,80,85,86,71,75,70,90,78,71,84
PIQUÉ,FC BARCELONA,Spanish League,CB,33,76,68,73,80,83,66,93,87,83,81,85,82
S. HANDANOVIČ,LOMBARDIA NA,Serie A TIM,GK,36,63,57,55,60,60,43,47,82,65,85,70,56
Á. DI MARÍA,PSG,Ligue 1 Uber Eats,RWF,32,84,88,88,87,87,77,52,64,81,85,61,90
W. SZCZĘSNY,JUVENTUS,Serie A TIM,GK,30,64,60,58,61,67,50,50,84,65,79,72,54
C. IMMOBILE,LAZIO,Serie A TIM,CF,30,84,81,80,79,74,91,50,85,84,89,87,73
D. ALABA,FC BAYERN MÜNCHEN,Other European Leagues,CB,28,87,84,83,85,88,73,87,78,89,82,77,81
SON HEUNG-MIN,TOTTENHAM WB,English League,LMF,28,91,88,86,86,78,86,48,66,89,85,66,85
MARQUINHOS,PSG,Ligue 1 Uber Eats,DMF,26,84,81,77,79,82,60,89,88,81,75,88,78
M. VERRATTI,PSG,Ligue 1 Uber Eats,CMF,28,73,83,88,89,92,61,77,70,84,77,50,94
BRUNO FERNANDES,MANCHESTER UNITED,English League,AMF,26,79,81,85,86,87,80,61,69,88,89,62,82
S. GNABRY,FC BAYERN MÜNCHEN,Other European Leagues,LWF,25,87,93,89,87,82,80,50,76,82,82,67,86
SAÚL,MADRID ROSAS RB,Spanish League,CMF,26,79,82,85,87,88,77,77,78,85,75,82,84
K. KOULIBALY,NAPOLI,Serie A TIM,CB,29,86,78,73,74,75,63,88,93,79,68,88,64
BERNARDO SILVA,MANCHESTER B,English League,RWF,26,76,84,95,94,82,80,61,64,87,75,62,90
ROBERTO FIRMINO,LIVERPOOL R,English League,CF,29,81,79,85,89,84,80,50,76,87,80,75,89
F. DE JONG,FC BARCELONA,Spanish League,CMF,23,81,83,85,86,89,67,71,72,84,74,74,88
T. ALEXANDER-ARNOLD,LIVERPOOL R,English League,RB,22,86,82,76,85,86,62,73,68,87,85,68,80
H. LLORIS,TOTTENHAM WB,English League,GK,34,63,67,44,61,62,41,47,82,60,80,60,46
G. CHIELLINI,JUVENTUS,Serie A TIM,CB,36,76,73,70,72,74,62,91,90,80,79,85,67
L. MODRIĆ,MADRID CHAMARTIN B,Spanish League,CMF,35,72,83,87,92,91,71,64,60,81,79,60,87
M. PJANIĆ,FC BARCELONA,Spanish League,DMF,30,71,73,84,86,88,69,75,66,83,80,63,80
DANI PAREJO,VILLARREAL A,Spanish League,CMF,31,68,69,83,86,91,82,68,73,81,84,64,85
THIAGO SILVA,CHELSEA B,English League,CB,36,73,71,70,75,79,60,90,85,74,76,87,79
R. LUKAKU,LOMBARDIA NA,Serie A TIM,CF,27,88,81,80,76,72,87,50,95,82,87,86,73
T. MÜLLER,FC BAYERN MÜNCHEN,Other European Leagues,SS,31,81,78,79,84,85,85,59,75,88,83,85,75
S. DE VRIJ,LOMBARDIA NA,Serie A TIM,CB,28,75,73,73,75,76,63,92,87,81,79,87,73
KOKE,MADRID ROSAS RB,Spanish League,CMF,28,72,78,84,86,88,73,64,75,85,83,64,82
J. ILIČIĆ,ATALANTA,Serie A TIM,SS,32,77,76,88,94,85,86,46,82,77,88,63,92
P. POGBA,MANCHESTER UNITED,English League,CMF,27,79,70,85,87,86,75,60,88,83,87,75,85
B. LENO,ARSENAL,English League,GK,28,65,64,46,60,64,41,47,78,60,82,60,52
M. ICARDI,PSG,Ligue 1 Uber Eats,CF,27,83,81,84,79,75,87,49,77,80,83,85,79
H. ZIYECH,CHELSEA B,English League,AMF,27,80,81,83,84,84,77,64,71,82,83,65,86
A. LAPORTE,MANCHESTER B,English League,CB,26,74,70,67,75,79,56,90,86,83,77,88,65
J. GIMÉNEZ,MADRID ROSAS RB,Spanish League,CB,25,76,74,65,70,74,57,87,86,83,81,85,71
R. MAHREZ,MANCHESTER B,English League,RWF,29,84,89,91,89,82,79,54,65,77,80,60,90
LUIS ALBERTO,LAZIO,Serie A TIM,CMF,28,75,78,85,91,93,75,59,73,81,82,60,89
FABINHO,LIVERPOOL R,English League,DMF,27,76,74,80,82,83,68,86,83,84,80,79,85
J. VARDY,LEICESTER B,English League,CF,33,87,85,75,81,73,87,53,72,87,86,73,78
L. SANÉ,FC BAYERN MÜNCHEN,Other European Leagues,LWF,24,96,92,87,84,77,80,44,70,78,85,70,86
C. LENGLET,FC BARCELONA,Spanish League,CB,25,77,73,67,74,81,57,89,86,85,78,86,76
S. MILINKOVIĆ-SAVIĆ,LAZIO,Serie A TIM,CMF,25,77,72,84,92,83,78,67,87,81,86,88,86
M. ŠKRINIAR,LOMBARDIA NA,Serie A TIM,CB,25,75,71,63,71,75,64,90,90,84,81,88,72
M. DE LIGT,JUVENTUS,Serie A TIM,CB,21,77,74,74,75,79,63,86,89,83,79,87,72
N. SÜLE,FC BAYERN MÜNCHEN,Other European Leagues,CB,25,76,69,66,71,76,60,86,92,76,85,92,69
T. WERNER,CHELSEA B,English League,CF,24,92,95,85,77,72,84,59,76,89,79,79,75
J. SANCHO,Free Agents,Free Agent,RWF,20,90,94,93,89,86,77,51,62,77,75,60,91
FERNANDINHO,MANCHESTER B,English League,DMF,35,73,74,73,80,83,68,85,80,84,84,80,79
L. BONUCCI,JUVENTUS,Serie A TIM,CB,33,72,67,73,75,80,67,90,86,82,79,88,70
DAVID SILVA,VASCO GIPUZKOA AB,Spanish League,AMF,34,71,79,87,92,90,72,50,64,78,73,62,92
G. HIGUAÍN,JUVENTUS,Serie A TIM,CF,33,70,68,79,84,77,87,47,89,75,87,80,81
G. WIJNALDUM,LIVERPOOL R,English League,CMF,30,81,82,82,87,84,75,70,73,87,80,76,85
I. RAKITIĆ,SEVILLA NERVIÓN BR,Spanish League,CMF,32,71,69,81,85,87,79,67,73,84,84,68,80
